#274 158.1084@5.790 MS1+,#200 74.0955@8.644 MS1+,#189 73.0444@6.382 MS1+,#285 133.0351@7.001 MS1+,#30 156.0943@7.793 MS1+,#80 133.0460@8.752 MS1+
6939.52822,2613.586755,3727.801796,1810.496045,56987.97832,60335.21521
8859.372303,11042.53462,3474.881819,7348.925484,427540.9536,50354.72074
2105.410083,6055.536684,2168.555634,6100.731769,365166.5212,3050.311705
1902.883358,5085.026861,2257.128243,0,21167.60619,1183.039777
2168.474717,1378.177519,2541.781696,113.3707549,23386.35803,906.7338089
1030.648938,5874.103225,3753.655104,265.872817,33398.73237,1535.399998
2039.072348,6498.042337,3734.772869,2553.838867,264618.2345,39302.82614
6800.464469,5356.120729,4187.149732,3855.161154,24291.52726,74350.7371
8054.200956,5837.327972,2011.490941,5645.498092,257830.8742,37157.70422
2871.986004,0,2921.649437,1106.343932,26734.74722,1828.362382
2514.394539,2216.275313,1857.548602,0,15189.49664,2050.031738
11157.33862,11082.90881,3082.884403,0,11634.90573,1870.659068
3445.97149,7325.759974,3578.536474,0,75177.68866,10569.09604
6339.274507,2671.528357,3480.782871,9092.846405,21824.45416,36571.55918
6549.361288,7192.027239,2712.874034,7962.708837,113243.717,29251.16605
2999.261851,5673.525204,2784.755973,0,17287.53478,1180.243535
2802.798058,18379.3836,2286.025547,400.0427873,21310.19364,2607.241856
4387.719505,8099.317126,3193.086175,0,31599.34705,1922.820108
4303.862354,26530.59408,2040.3125,2625.13752,43386.8143,9959.330354
5557.478051,10579.09348,2449.206908,5577.280832,123358.0055,11866.62064
6641.411521,11652.30079,1637.292999,1811.6282,92968.10518,31446.7964
2048.910218,2267.77714,703.1714961,0,20167.93843,579.5136872
1983.648306,11137.81282,3113.163867,0,11746.60523,1155.926846
2599.242163,3051.722045,1602.941701,674.3299457,22657.69139,1169.075052
5242.235527,1344.215426,2793.050727,2227.418041,205049.0672,58669.98689
4652.062642,4342.010237,6161.665825,1719.431457,150031.6639,70630.50772
4789.37387,1905.163744,2175.996408,3153.370624,263381.1703,60395.85993
1640.756409,607.5078457,2776.105137,0,11905.83063,1880.045019
2903.380522,6864.406621,3089.355298,0,19272.69897,493.9828274
1629.141389,4434.995168,2791.319331,690.9882166,26199.10769,1904.659337
